Desc_Instituicao;Modalidade;Desc_Curso
Campus Aracruz;FIC;Almoxarife
Campus Aracruz;FIC;Torneiro Mecânico
Campus Venda Nova do Imigrante;FIC;Auxiliar de Recursos Humanos
Campus Venda Nova do Imigrante;FIC;Auxiliar Financeiro
Campus Venda Nova do Imigrante;FIC;Monitor Ambiental
Campus Venda Nova do Imigrante;FIC;Operador de Computador
Campus Guarapari;Concomitante/Subsequente;Especialização Técnica em Gestão de Pessoas
Campus Vitória;Pós-Graduação;Especialização em Engenharia Elétrica com Ênfase em Sistemas Inteligentes Aplicados à Automação
Campus Aracruz;FIC;Auxiliar de Pessoal
Campus Aracruz;FIC;Soldador no Processo MIG/MAG
Campus Nova Venécia;FIC;Assistente de Produção
Campus Guarapari;Integrado;Técnico em Eletrotécnica Integrado
Campus Guarapari;Concomitante/Subsequente;Técnico em Eletrotécnica
Campus Ibatiba;Integrado;Técnico em Florestas Integrado
Campus Cachoeiro de Itapemirim;Superior;Engenharia Mecânica
Campus Vitória;FIC;Qualificação Profissional em Gestão e Relacionamento com o Cliente
Campus Cariacica;Concomitante/Subsequente;Técnico em Manutenção Eletromecânica Ferroviária
Campus Cariacica;Integrado;Técnico em Manutenção Eletromecânica Ferroviária Integrado ao Ensino Médio
Campus Colatina;Pós-Graduação;Especialização em Gestão Pública
Campus Vitória;FIC;TORNEIRO MECÂNICO
Campus Vitória;FIC;MECÂNICO DE MÁQUINAS INDUSTRIAIS
Campus Vitória;FIC;AJUSTADOR MECÂNICO
Campus Vitória;FIC;ELETRICISTA INSTALADOR PREDIAL DE BAIXA TENSÃO
Campus Vitória;Superior;Engenharia Metalúrgica - CH Comp 200
Campus Vitória;Superior;Engenharia Elétrica
Campus Aracruz;FIC;Fic - Aracruz - Recepcionista em Meios de Hospedagem
Centro de Referência em Formação e em Educação a Distância;FIC;Formação de Tutores para EAD
Campus Serra;FIC;FIC - Formação de Professores para EAD
Campus Aracruz;FIC;FIC - Aracruz - Soldador no Processo Eletrodo Revestido Aço Carbono e Aço Baixa Liga
Campus de Alegre;Superior;Bacharel em Engenharia de Aquicultura
Campus Aracruz;FIC;FIC - Aracruz - Operador de Processos Químicos Industriais
Campus Guarapari;FIC;Auxiliar de Tesouraria - FIC/PRONATEC
Campus Guarapari;FIC;Desenhista Mecânico - FIC/PRONATEC
Campus Guarapari;FIC;Eletricista Instalador Predial de Baixa Tensão - FIC/PRONATEC
Campus Guarapari;FIC;Montador e Reparador de Computadores - FIC/PRONATEC
Campus Serra;FIC;Auxiliar Administrativo Pronatec FIC
Campus Serra;FIC;Eletricista Instalador Predial de Baixa Tensão Pronatec - FIC
Campus Serra;FIC;Operador de Computador - Pronatec FIC
Campus Aracruz;FIC;FIC - Aracruz - Auxiliar Administrativo
Campus Vila Velha;Concomitante/Subsequente;Técnico em Biotecnologia
Campus Venda Nova do Imigrante;FIC;Auxiliar Administrativo
Campus Vitória;FIC;DESENHISTA DA CONSTRUÇÃO CIVIL
Campus Vitória;FIC;Auxiliar Administrativo
Campus Guarapari;Concomitante/Subsequente;Técnico em Administração - EAD - Guarapari
Campus Nova Venécia;FIC;Auxiliar de Secretaria Escolar
Campus Nova Venécia;FIC;Auxilar Administrativo
Campus Nova Venécia;FIC;Auxiliar de Biblioteca
Campus Nova Venécia;FIC;Auxiliar de Pessoal
Campus Nova Venécia;FIC;Cuidador Infantil
Campus Nova Venécia;FIC;Desenhista de Topografia
Campus Nova Venécia;FIC;Operador de Computador
Campus Nova Venécia;FIC;Operador em Petróleo e Gás
Campus Nova Venécia;FIC;Recepcionista
Campus Colatina;FIC;Operador de Computador
Campus Colatina;FIC;Auxiliar Administrativo
Campus Colatina;FIC;Agente Comunitário de Saúde
Campus Colatina;FIC;Auxiliar de Fiscalização Ambiental
Campus Colatina;FIC;Inglês Básico
Campus Colatina;FIC;Auxiliar de Secretaria Escolar
Campus Aracruz;Concomitante/Subsequente;Técnico em Administração
Campus Aracruz;FIC;Fic Aracruz - Caldeireiro Industrial
Campus Aracruz;FIC;Fic Aracruz - Cuidador Infantil
Campus Aracruz;FIC;Fic Aracruz - Curso Cuidador de Idoso
Campus Guarapari;FIC;Auxiliar Administrativo - FIC/PRONATEC
Campus Linhares;FIC;PRONATEC - FIC - AUXILIAR DE PESSOAL
Campus Aracruz;FIC;Auxiliar de Laboratório de Saneamento
Campus de Alegre;FIC;FIC/PRONATEC - Alegre - Operador de Máquinas e Implementos Agrícolas (Mecanização Agrícola)
Campus de Alegre;FIC;FIC/PRONATEC - Alegre - Auxiliar Administrativo
Campus de Alegre;FIC;FIC/PRONATEC - Alegre - Operador de Computador
Campus de Alegre;FIC;FIC/PRONATEC - Alegre - Montagem e Manutenção de Computadores
Campus de Alegre;FIC;FIC/PRONATEC - Alegre - Agricultor Familiar - Cafeicultura
Campus de Alegre;FIC;FIC/PRONATEC - Alegre - Condutor Ambiental Local
Campus de Alegre;FIC;FIC/PRONATEC - Alegre - Inglês Básico
Campus de Alegre;FIC;FIC/PRONATEC - Alegre - Agente Comunitário de Saúde
Campus de Alegre;FIC;FIC/PRONATEC - Alegre - Auxiliar de Secretaria Escolar
Campus de Alegre;FIC;FIC/PRONATEC - Alegre - Montador e Reparador  de Computadores
Campus de Alegre;FIC;FIC/PRONATEC - Alegre - Produtor de Embutidos e Defumados
Campus de Alegre;FIC;FIC/PRONATEC - Alegre - Produtor de Derivados de Leite
Campus Piúma;FIC;OPERADOR DE COMPUTADOR - Pronatec FIC - Noturno
Campus Ibatiba;FIC;Auxiliar de Secretaria Escolar - PRONATEC
Campus Piúma;FIC;AUXILIAR ADMINISTRATIVO - PRONATEC - Noturno
Campus Piúma;FIC;AUXILIAR DE RECURSOS HUMANOS - Noturno
Campus Piúma;FIC;INGLÊS BÁSICO - Noturno
Campus Piúma;FIC;MONTADOR E REPARADOR DE COMPUTADORES - Noturno
Campus Ibatiba;FIC;Auxiliar de Costura
Campus Aracruz;FIC;FIC - Aracruz - Mecânico de Máquinas Industriais
Campus Cachoeiro de Itapemirim;FIC;Desenhista Mecânico
Campus Venda Nova do Imigrante;FIC;Língua Brasileira de Sinais (Libras) Básico
Campus Piúma;FIC;PRONATEC - AQUICULTOR
Campus Cachoeiro de Itapemirim;FIC;Eletricista Instalador Predial de Baixa Tensão
Campus Aracruz;FIC;FIC - Aracruz - Curso de Inglês Básico
Campus São Mateus;FIC;Qualificação em Eletricista Industrial
Campus São Mateus;FIC;Qualificação em Soldador no Processo Eletrodo Revestido Aço Carbono e Aço Baixa Liga
Campus São Mateus;FIC;Qualificação em Soldador no Processo Eletrodo Revestido Aço Carbono e Aço Baixa Liga
Campus São Mateus;FIC;Qualificação em Torneiro Mecânico
